"Group","log10_Size_Midpoint_g","Biomass_Pg_wet_weight_estimate","Biomass_Pg_wet_weight_95CI_lower","Biomass_Pg_wet_weight_95CI_upper"
"Hetero_Bacteria",-13.5,1.49277913220342,0.387007892613348,5.75799506954334
"Hetero_Bacteria",-12.5,1.49277913220342,0.387007892613348,5.75799506954334
"Hetero_Bacteria",-11.5,0.746389566101712,0.193503946306674,2.87899753477167
"Hetero_Bacteria",-10.5,0,0,0
"Hetero_Bacteria",-9.5,0,0,0
"Hetero_Bacteria",-8.5,0,0,0
"Hetero_Bacteria",-7.5,0,0,0
"Hetero_Bacteria",-6.5,0,0,0
"Hetero_Bacteria",-5.5,0,0,0
"Hetero_Bacteria",-4.5,0,0,0
"Hetero_Bacteria",-3.5,0,0,0
"Hetero_Bacteria",-2.5,0,0,0
"Hetero_Bacteria",-1.5,0,0,0
"Hetero_Bacteria",-0.5,0,0,0
"Hetero_Bacteria",0.5,0,0,0
"Hetero_Bacteria",1.5,0,0,0
"Hetero_Bacteria",2.5,0,0,0
"Hetero_Bacteria",3.5,0,0,0
"Hetero_Bacteria",4.5,0,0,0
"Hetero_Bacteria",5.5,0,0,0
"Hetero_Bacteria",6.5,0,0,0
"Hetero_Bacteria",7.5,0,0,0
"Hetero_Bacteria",8.5,0,0,0
"Picophytoplankton",-13.5,1.01849787157053,0.316303686823146,3.27956314645711
"Picophytoplankton",-12.5,0.7278107108004,0.226028171056025,2.34355048877729
"Picophytoplankton",-11.5,0.437123550030271,0.135752655288904,1.40753783109747
"Picophytoplankton",-10.5,0,0,0
"Picophytoplankton",-9.5,0,0,0
"Picophytoplankton",-8.5,0,0,0
"Picophytoplankton",-7.5,0,0,0
"Picophytoplankton",-6.5,0,0,0
"Picophytoplankton",-5.5,0,0,0
"Picophytoplankton",-4.5,0,0,0
"Picophytoplankton",-3.5,0,0,0
"Picophytoplankton",-2.5,0,0,0
"Picophytoplankton",-1.5,0,0,0
"Picophytoplankton",-0.5,0,0,0
"Picophytoplankton",0.5,0,0,0
"Picophytoplankton",1.5,0,0,0
"Picophytoplankton",2.5,0,0,0
"Picophytoplankton",3.5,0,0,0
"Picophytoplankton",4.5,0,0,0
"Picophytoplankton",5.5,0,0,0
"Picophytoplankton",6.5,0,0,0
"Picophytoplankton",7.5,0,0,0
"Picophytoplankton",8.5,0,0,0
"Nanophytoplankton",-13.5,0,0,0
"Nanophytoplankton",-12.5,0,0,0
"Nanophytoplankton",-11.5,0.239039217683226,0.0742357818892006,0.769706280939988
"Nanophytoplankton",-10.5,0.598496687883566,0.185868536609803,1.92715933498508
"Nanophytoplankton",-9.5,0.598496687883566,0.185868536609803,1.92715933498508
"Nanophytoplankton",-8.5,0.35945747020034,0.111632754720602,1.15745305404509
"Nanophytoplankton",-7.5,0,0,0
"Nanophytoplankton",-6.5,0,0,0
"Nanophytoplankton",-5.5,0,0,0
"Nanophytoplankton",-4.5,0,0,0
"Nanophytoplankton",-3.5,0,0,0
"Nanophytoplankton",-2.5,0,0,0
"Nanophytoplankton",-1.5,0,0,0
"Nanophytoplankton",-0.5,0,0,0
"Nanophytoplankton",0.5,0,0,0
"Nanophytoplankton",1.5,0,0,0
"Nanophytoplankton",2.5,0,0,0
"Nanophytoplankton",3.5,0,0,0
"Nanophytoplankton",4.5,0,0,0
"Nanophytoplankton",5.5,0,0,0
"Nanophytoplankton",6.5,0,0,0
"Nanophytoplankton",7.5,0,0,0
"Nanophytoplankton",8.5,0,0,0
"Microphytoplankton",-13.5,0,0,0
"Microphytoplankton",-12.5,0,0,0
"Microphytoplankton",-11.5,0,0,0
"Microphytoplankton",-10.5,0,0,0
"Microphytoplankton",-9.5,0,0,0
"Microphytoplankton",-8.5,0.179941348508328,0.055882406369046,0.579411142196816
"Microphytoplankton",-7.5,0.450529842505814,0.139916100157085,1.45070609286872
"Microphytoplankton",-6.5,0.450529842505814,0.139916100157085,1.45070609286872
"Microphytoplankton",-5.5,0.270588493997486,0.084033693788039,0.871294950671904
"Microphytoplankton",-4.5,0,0,0
"Microphytoplankton",-3.5,0,0,0
"Microphytoplankton",-2.5,0,0,0
"Microphytoplankton",-1.5,0,0,0
"Microphytoplankton",-0.5,0,0,0
"Microphytoplankton",0.5,0,0,0
"Microphytoplankton",1.5,0,0,0
"Microphytoplankton",2.5,0,0,0
"Microphytoplankton",3.5,0,0,0
"Microphytoplankton",4.5,0,0,0
"Microphytoplankton",5.5,0,0,0
