id,year,mag,magType,energy_proxy_J
usp000h5m6,2010,6.1,mwb,89125093813374.4
usp000h5mt,2010,5.8,mwc,31622776601683.793
usp000h5na,2010,5.7,mwb,22387211385683.47
usp000h5nd,2010,6.6,mwc,501187233627271.44
usp000h5np,2010,7.1,mwc,2818382931264449.0
usp000h5pg,2010,5.6,mwc,15848931924611.11
usp000h5q5,2010,5.8,mwc,31622776601683.793
usp000h5ra,2010,6.8,mwc,1000000000000000.0
usp000h5rn,2010,6.8,mwc,1000000000000000.0
usp000h5rx,2010,6.0,mwc,63095734448019.43
usp000h5sy,2010,5.7,mwb,22387211385683.47
usp000h5t4,2010,5.6,mwc,15848931924611.11
usp000h5t7,2010,5.6,mwc,15848931924611.11
usp000h5tt,2010,5.6,mwc,15848931924611.11
usp000h5vu,2010,6.2,mwc,125892541179417.14
nc71338066,2010,6.5,mw,354813389233576.06
usp000h5zw,2010,5.5,mwb,11220184543019.652
usp000h60h,2010,7.0,mwc,1995262314968882.8
usp000h60j,2010,6.0,mwc,63095734448019.43
usp000h61b,2010,5.6,mwc,15848931924611.11
usp000h61c,2010,5.6,mwc,15848931924611.11
usp000h61z,2010,5.8,mwc,31622776601683.793
usp000h62t,2010,5.5,mwc,11220184543019.652
usp000h62w,2010,5.8,mwc,31622776601683.793
usp000h63w,2010,5.8,mwc,31622776601683.793
usp000h641,2010,5.5,mwc,11220184543019.652
usp000h655,2010,5.9,mwc,44668359215096.53
usp000h659,2010,5.7,mwc,22387211385683.47
usp000h65y,2010,5.6,mwc,15848931924611.11
usp000h677,2010,5.5,mwc,11220184543019.652
usp000h67y,2010,5.6,mwb,15848931924611.11
usp000h684,2010,5.7,mwc,22387211385683.47
usp000h68a,2010,6.3,mwc,177827941003892.28
usp000h693,2010,5.6,mwc,15848931924611.11
usp000h69z,2010,5.9,mwc,44668359215096.53
usp000h6a0,2010,5.5,mwc,11220184543019.652
usp000h6a2,2010,5.7,mwb,22387211385683.47
usp000h6ay,2010,5.6,mwc,15848931924611.11
usp000h6bt,2010,5.9,mwc,44668359215096.53
usp000h6d2,2010,5.9,mwc,44668359215096.53
usp000h6e0,2010,5.5,mwb,11220184543019.652
usp000h6eg,2010,5.6,mwb,15848931924611.11
